,xg,yg,zg,Bx,By,Bz
142,-0.8,-0.8,1.0,-0.14310219777774733,-0.14310219777774733,-0.2311143855614034
143,-0.8,-0.6,-1.0,-0.11012475402198275,-0.15429462053243645,0.16721999272710442
144,-0.8,-0.6,-0.8,-0.1660211178245947,-0.2230323359830825,0.19777705939614554
145,-0.8,-0.6,-0.6,-0.23177961951164855,-0.3019886304788473,0.20308307691888242
146,-0.8,-0.6,-0.3999999999999999,-0.29579971956510825,-0.377694609907845,0.1696809579940248
147,-0.8,-0.6,-0.19999999999999996,-0.34282772560334845,-0.4328292359563217,0.0970133369122881
148,-0.8,-0.6,0.0,-0.3601325602337348,-0.45304056633999257,0.0
149,-0.8,-0.6,0.20000000000000018,-0.34282772560334845,-0.4328292359563217,-0.09701333691228825
150,-0.8,-0.6,0.40000000000000013,-0.2957997195651082,-0.37769460990784487,-0.16968095799402486
151,-0.8,-0.6,0.6000000000000001,-0.23177961951164852,-0.30198863047884716,-0.20308307691888242
152,-0.8,-0.6,0.8,-0.1660211178245947,-0.2230323359830825,-0.19777705939614554
153,-0.8,-0.6,1.0,-0.11012475402198275,-0.15429462053243645,-0.16721999272710442
154,-0.8,-0.3999999999999999,-1.0,-0.07474893396164195,-0.16228920821435722,0.10856771113047527
155,-0.8,-0.3999999999999999,-0.8,-0.11097911049323385,-0.22482252764410704,0.12652761882856406
156,-0.8,-0.3999999999999999,-0.6,-0.15326066380478634,-0.29443413526097134,0.12849865354672654
157,-0.8,-0.3999999999999999,-0.3999999999999999,-0.19421677444001867,-0.3597963782875242,0.1065972766805177
158,-0.8,-0.3999999999999999,-0.19999999999999996,-0.224217103107921,-0.40682095219045433,0.06071316225223376
159,-0.8,-0.3999999999999999,0.0,-0.23524262694659925,-0.423966087084649,0.0
160,-0.8,-0.3999999999999999,0.20000000000000018,-0.224217103107921,-0.4068209521904542,-0.06071316225223386
161,-0.8,-0.3999999999999999,0.40000000000000013,-0.1942167744400186,-0.35979637828752414,-0.10659727668051773
162,-0.8,-0.3999999999999999,0.6000000000000001,-0.1532606638047863,-0.29443413526097123,-0.12849865354672654
163,-0.8,-0.3999999999999999,0.8,-0.11097911049323385,-0.22482252764410704,-0.12652761882856406
164,-0.8,-0.3999999999999999,1.0,-0.07474893396164195,-0.16228920821435722,-0.10856771113047527
165,-0.8,-0.19999999999999996,-1.0,-0.03777419636491702,-0.1670859608235097,0.05341017035895934
166,-0.8,-0.19999999999999996,-0.8,-0.05557906482966816,-0.22589664264072173,0.06166668318362215
167,-0.8,-0.19999999999999996,-0.6,-0.07625260714149938,-0.28990143813024577,0.062182307453604764
168,-0.8,-0.19999999999999996,-0.3999999999999999,-0.0962134756389933,-0.3490574393153318,0.0513416297456092
169,-0.8,-0.19999999999999996,-0.19999999999999996,-0.11080813736566715,-0.3912159819309338,0.029167862419329397
170,-0.8,-0.19999999999999996,0.0,-0.11616758951053245,-0.40652139953144295,0.0
171,-0.8,-0.19999999999999996,0.20000000000000018,-0.11080813736566715,-0.3912159819309338,-0.02916786241932944
172,-0.8,-0.19999999999999996,0.40000000000000013,-0.09621347563899327,-0.3490574393153317,-0.05134162974560922
173,-0.8,-0.19999999999999996,0.6000000000000001,-0.07625260714149937,-0.2899014381302457,-0.062182307453604764
174,-0.8,-0.19999999999999996,0.8,-0.05557906482966816,-0.22589664264072173,-0.06166668318362215
175,-0.8,-0.19999999999999996,1.0,-0.03777419636491702,-0.1670859608235097,-0.05341017035895934
176,-0.8,0.0,-1.0,0.0,-0.16868487835989388,-0.0
177,-0.8,0.0,-0.8,0.0,-0.22625468097292664,-0.0
178,-0.8,0.0,-0.6,0.0,-0.28839053908667056,-0.0
179,-0.8,0.0,-0.3999999999999999,0.0,-0.3454777929912676,-0.0
180,-0.8,0.0,-0.19999999999999996,0.0,-0.38601432517776035,-0.0
181,-0.8,0.0,0.0,0.0,-0.40070650368037425,-0.0
182,-0.8,0.0,0.20000000000000018,0.0,-0.38601432517776035,0.0
183,-0.8,0.0,0.40000000000000013,0.0,-0.3454777929912676,0.0
184,-0.8,0.0,0.6000000000000001,0.0,-0.2883905390866705,0.0
185,-0.8,0.0,0.8,0.0,-0.22625468097292664,0.0
186,-0.8,0.0,1.0,0.0,-0.16868487835989388,0.0
187,-0.8,0.20000000000000018,-1.0,0.037774196364917065,-0.1670859608235097,-0.0534101703589594
188,-0.8,0.20000000000000018,-0.8,0.05557906482966822,-0.22589664264072173,-0.061666683183622215
189,-0.8,0.20000000000000018,-0.6,0.07625260714149946,-0.28990143813024577,-0.06218230745360483
190,-0.8,0.20000000000000018,-0.3999999999999999,0.0962134756389934,-0.3490574393153318,-0.051341629745609255
191,-0.8,0.20000000000000018,-0.19999999999999996,0.11080813736566726,-0.3912159819309339,-0.029167862419329425
192,-0.8,0.20000000000000018,0.0,0.11616758951053258,-0.40652139953144295,-0.0
193,-0.8,0.20000000000000018,0.20000000000000018,0.11080813736566726,-0.3912159819309339,0.02916786241932947
194,-0.8,0.20000000000000018,0.40000000000000013,0.09621347563899338,-0.3490574393153317,0.05134162974560927
195,-0.8,0.20000000000000018,0.6000000000000001,0.07625260714149945,-0.2899014381302457,0.06218230745360483
196,-0.8,0.20000000000000018,0.8,0.05557906482966822,-0.22589664264072173,0.061666683183622215
197,-0.8,0.20000000000000018,1.0,0.037774196364917065,-0.1670859608235097,0.0534101703589594
198,-0.8,0.40000000000000013,-1.0,0.07474893396164199,-0.16228920821435722,-0.10856771113047532
199,-0.8,0.40000000000000013,-0.8,0.11097911049323392,-0.22482252764410704,-0.12652761882856414
200,-0.8,0.40000000000000013,-0.6,0.15326066380478642,-0.29443413526097134,-0.12849865354672663
201,-0.8,0.40000000000000013,-0.3999999999999999,0.19421677444001878,-0.3597963782875242,-0.10659727668051776
202,-0.8,0.40000000000000013,-0.19999999999999996,0.22421710310792117,-0.40682095219045433,-0.060713162252233804
203,-0.8,0.40000000000000013,0.0,0.23524262694659936,-0.423966087084649,-0.0
204,-0.8,0.40000000000000013,0.20000000000000018,0.22421710310792115,-0.40682095219045433,0.060713162252233895
205,-0.8,0.40000000000000013,0.40000000000000013,0.19421677444001872,-0.3597963782875242,0.1065972766805178
206,-0.8,0.40000000000000013,0.6000000000000001,0.1532606638047864,-0.2944341352609713,0.12849865354672663
207,-0.8,0.40000000000000013,0.8,0.11097911049323392,-0.22482252764410704,0.12652761882856414
208,-0.8,0.40000000000000013,1.0,0.07474893396164199,-0.16228920821435722,0.10856771113047532
209,-0.8,0.6000000000000001,-1.0,0.11012475402198277,-0.15429462053243645,-0.16721999272710447
210,-0.8,0.6000000000000001,-0.8,0.16602111782459472,-0.2230323359830825,-0.19777705939614562
211,-0.8,0.6000000000000001,-0.6,0.2317796195116486,-0.3019886304788473,-0.20308307691888247
212,-0.8,0.6000000000000001,-0.3999999999999999,0.2957997195651083,-0.377694609907845,-0.16968095799402488
213,-0.8,0.6000000000000001,-0.19999999999999996,0.3428277256033485,-0.4328292359563218,-0.09701333691228813
214,-0.8,0.6000000000000001,0.0,0.36013256023373486,-0.45304056633999257,-0.0
215,-0.8,0.6000000000000001,0.20000000000000018,0.3428277256033485,-0.4328292359563217,0.09701333691228826
216,-0.8,0.6000000000000001,0.40000000000000013,0.29579971956510825,-0.37769460990784487,0.1696809579940249
217,-0.8,0.6000000000000001,0.6000000000000001,0.23177961951164855,-0.30198863047884716,0.20308307691888247
218,-0.8,0.6000000000000001,0.8,0.16602111782459472,-0.2230323359830825,0.19777705939614562
219,-0.8,0.6000000000000001,1.0,0.11012475402198277,-0.15429462053243645,0.16721999272710447
220,-0.8,0.8,-1.0,0.14310219777774733,-0.14310219777774733,-0.2311143855614034
221,-0.8,0.8,-0.8,0.22052606765764815,-0.22052606765764815,-0.2786092573476864
222,-0.8,0.8,-0.6,0.3125649237838735,-0.3125649237838735,-0.29006961620958943
223,-0.8,0.8,-0.3999999999999999,0.402752134176294,-0.402752134176294,-0.2445066908754299
224,-0.8,0.8,-0.19999999999999996,0.46924083322853616,-0.46924083322853616,-0.1404458238130674
225,-0.8,0.8,0.0,0.49374483729747337,-0.49374483729747337,-0.0
226,-0.8,0.8,0.20000000000000018,0.46924083322853605,-0.46924083322853605,0.1404458238130676
227,-0.8,0.8,0.40000000000000013,0.4027521341762939,-0.4027521341762939,0.24450669087542995
228,-0.8,0.8,0.6000000000000001,0.31256492378387346,-0.31256492378387346,0.2900696162095894
229,-0.8,0.8,0.8,0.22052606765764815,-0.22052606765764815,0.2786092573476864
230,-0.8,0.8,1.0,0.14310219777774733,-0.14310219777774733,0.2311143855614034
231,-0.8,1.0,-1.0,0.17288180646074355,-0.1287119399502899,-0.3019982600459287
232,-0.8,1.0,-0.8,0.27431494082629176,-0.21730372266780398,-0.3722184651445062
233,-0.8,1.0,-0.6,0.39637202614324885,-0.3261630151760502,-0.3935923100583644
234,-0.8,1.0,-0.3999999999999999,0.516863841435608,-0.4349689510928714,-0.33498849251403207
235,-0.8,1.0,-0.19999999999999996,0.6060572543600707,-0.5160557440070974,-0.1933880603681465
236,-0.8,1.0,0.0,0.6389869060633493,-0.5460788999570916,-0.0
237,-0.8,1.0,0.20000000000000018,0.6060572543600706,-0.5160557440070974,0.1933880603681468
238,-0.8,1.0,0.40000000000000013,0.5168638414356079,-0.43496895109287126,0.33498849251403223
239,-0.8,1.0,0.6000000000000001,0.39637202614324873,-0.3261630151760502,0.39359231005836437
240,-0.8,1.0,0.8,0.27431494082629176,-0.21730372266780398,0.3722184651445062
241,-0.8,1.0,1.0,0.17288180646074355,-0.1287119399502899,0.3019982600459287
242,-0.6,-1.0,-1.0,-0.18687233490410493,-0.09933206065138969,0.21885394947951137
243,-0.6,-1.0,-0.8,-0.2774477762330847,-0.16360435908221158,0.2651889943401056
244,-0.6,-1.0,-0.6,-0.38315165951196595,-0.24197818805578106,0.27710781349588626
245,-0.6,-1.0,-0.3999999999999999,-0.48554193610004676,-0.3199623322525413,0.2341175441823396
246,-0.6,-1.0,-0.19999999999999996,-0.5605427577698027,-0.3779389086872695,0.13463975659171937
247,-0.6,-1.0,0.0,-0.5881065673664982,-0.3993831072284485,0.0
248,-0.6,-1.0,0.20000000000000018,-0.5605427577698027,-0.3779389086872694,-0.13463975659171956
249,-0.6,-1.0,0.40000000000000013,-0.48554193610004664,-0.31996233225254117,-0.23411754418233963
250,-0.6,-1.0,0.6000000000000001,-0.3831516595119659,-0.24197818805578097,-0.27710781349588626
251,-0.6,-1.0,0.8,-0.2774477762330847,-0.16360435908221158,-0.2651889943401056
252,-0.6,-1.0,1.0,-0.18687233490410493,-0.09933206065138969,-0.21885394947951137
253,-0.6,-0.8,-1.0,-0.15429462053243645,-0.11012475402198275,0.16721999272710442
254,-0.6,-0.8,-0.8,-0.2230323359830825,-0.1660211178245947,0.19777705939614554
255,-0.6,-0.8,-0.6,-0.3019886304788473,-0.23177961951164855,0.20308307691888242
256,-0.6,-0.8,-0.3999999999999999,-0.377694609907845,-0.29579971956510825,0.1696809579940248
257,-0.6,-0.8,-0.19999999999999996,-0.4328292359563217,-0.34282772560334845,0.0970133369122881
258,-0.6,-0.8,0.0,-0.45304056633999257,-0.3601325602337348,0.0
259,-0.6,-0.8,0.20000000000000018,-0.4328292359563217,-0.34282772560334845,-0.09701333691228825
260,-0.6,-0.8,0.40000000000000013,-0.37769460990784487,-0.2957997195651082,-0.16968095799402486
261,-0.6,-0.8,0.6000000000000001,-0.30198863047884716,-0.23177961951164852,-0.20308307691888242
262,-0.6,-0.8,0.8,-0.2230323359830825,-0.1660211178245947,-0.19777705939614554
263,-0.6,-0.8,1.0,-0.15429462053243645,-0.11012475402198275,-0.16721999272710442
264,-0.6,-0.6,-1.0,-0.1185190710879996,-0.1185190710879996,0.12082814721236726
265,-0.6,-0.6,-0.8,-0.16790081906867044,-0.16790081906867044,0.13994788183614476
266,-0.6,-0.6,-0.6,-0.22384739953287883,-0.22384739953287883,0.1414604562604296
267,-0.6,-0.6,-0.3999999999999999,-0.27700657636377146,-0.27700657636377146,0.11698642337360794
268,-0.6,-0.6,-0.19999999999999996,-0.31551902764918766,-0.31551902764918766,0.06651922947358176
269,-0.6,-0.6,0.0,-0.32960435701562407,-0.32960435701562407,0.0
270,-0.6,-0.6,0.20000000000000018,-0.31551902764918766,-0.31551902764918766,-0.06651922947358187
271,-0.6,-0.6,0.40000000000000013,-0.27700657636377135,-0.27700657636377135,-0.11698642337360798
272,-0.6,-0.6,0.6000000000000001,-0.22384739953287877,-0.22384739953287877,-0.1414604562604296
273,-0.6,-0.6,0.8,-0.16790081906867044,-0.16790081906867044,-0.13994788183614476
274,-0.6,-0.6,1.0,-0.1185190710879996,-0.1185190710879996,-0.12082814721236726
275,-0.6,-0.3999999999999999,-1.0,-0.08034514533898651,-0.1245150118494402,0.0783678851258824
276,-0.6,-0.3999999999999999,-0.8,-0.11223224465595102,-0.16924346281443883,0.08930577231411344
277,-0.6,-0.3999999999999999,-0.6,-0.14797251715227322,-0.21818152811947186,0.0891394225408901
278,-0.6,-0.3999999999999999,-0.3999999999999999,-0.18168801230579412,-0.26358290264853085,0.07309842742911449
279,-0.6,-0.3999999999999999,-0.19999999999999996,-0.20601130447181384,-0.2960128148247871,0.04137435621541911
280,-0.6,-0.3999999999999999,0.0,-0.2148904914678588,-0.3077984975741165,0.0
281,-0.6,-0.3999999999999999,0.20000000000000018,-0.20601130447181384,-0.2960128148247871,-0.04137435621541918
282,-0.6,-0.3999999999999999,0.40000000000000013,-0.1816880123057941,-0.2635829026485308,-0.0730984274291145
283,-0.6,-0.3999999999999999,0.6000000000000001,-0.1479725171522732,-0.21818152811947183,-0.0891394225408901
284,-0.6,-0.3999999999999999,0.8,-0.11223224465595102,-0.16924346281443883,-0.08930577231411344
285,-0.6,-0.3999999999999999,1.0,-0.08034514533898651,-0.1245150118494402,-0.0783678851258824
286,-0.6,-0.19999999999999996,-1.0,-0.0405723020535893,-0.12811257630630454,0.03852867865823248
287,-0.6,-0.19999999999999996,-0.8,-0.05620563191102674,-0.17004904906189988,0.043455041484061804
288,-0.6,-0.19999999999999996,-0.6,-0.07360853381524281,-0.21478200527142774,0.04301944678062617
