time,Anum,Bnum,Aact,Bact,Bcum,inventory,refilled
366.0967741935484,7.45866705581049e+16,9489469078886072.0,40159349680.51197,7689860102.226737,776064318515.1552,10242466108.149912,4646981510.912997
366.13709677419354,7.46390099088965e+16,9602478121097766.0,40187530510.608864,7781437799.321312,776064318515.1552,10242466108.149912,4646981510.912997
366.1774193548387,7.46912511733365e+16,9715266516347398.0,40215658528.53351,7872836693.549664,776064318515.1552,10242466108.149912,4646981510.912997
366.21774193548384,7.474339453524309e+16,9827834703123262.0,40243733833.25828,7964057140.243962,776064318515.1552,10242466108.149912,4646981510.912997
366.258064516129,7.479544017809027e+16,9940183119022086.0,40271756523.5702,8055099494.013891,776064318515.1552,10242466108.149912,4646981510.912997
366.2983870967742,7.484738828500802e+16,1.0052312200749812e+16,40299726698.07108,8145964108.747277,776064318515.1552,10242466108.149912,4646981510.912997
366.33870967741933,7.489923903878304e+16,1.0164222384123926e+16,40327644455.177925,8236651337.611981,776064318515.1552,10242466108.149912,4646981510.912997
366.3790322580645,7.495099262185976e+16,1.0275914104075796e+16,40355509893.12341,8327161533.057794,776064318515.1552,10242466108.149912,4646981510.912997
366.4193548387097,7.500264921634048e+16,1.0387387794651594e+16,40383323109.95603,8417495046.817177,776064318515.1552,10242466108.149912,4646981510.912997
366.4596774193548,7.505420900398618e+16,1.0498643889014608e+16,40411084203.54049,8507652229.907144,776064318515.1552,10242466108.149912,4646981510.912997
366.5,7.51056721662175e+16,1.060968281944758e+16,40438793271.55825,8597633432.631151,776064318515.1552,10242466108.149912,4646981510.912997
366.5403225806452,7.515703888411485e+16,1.072050501735359e+16,40466450411.50757,8687439004.579811,776064318515.1552,10242466108.149912,4646981510.912997
366.5806451612903,7.520830933841925e+16,1.08311109132584e+16,40494055720.704,8777069294.632803,776064318515.1552,10242466108.149912,4646981510.912997
366.6209677419355,7.525948370953326e+16,1.0941500936812728e+16,40521609296.28085,8866524650.960697,776064318515.1552,10242466108.149912,4646981510.912997
366.66129032258067,7.531056217752112e+16,1.1051675516793154e+16,40549111235.18924,8955805421.02571,776064318515.1552,10242466108.149912,4646981510.912997
366.7016129032258,7.536154492210965e+16,1.116163508110444e+16,40576561634.19865,9044911951.583565,776064318515.1552,10242466108.149912,4646981510.912997
366.741935483871,7.541243212268904e+16,1.1271380056781802e+16,40603960589.89728,9133844588.68535,776064318515.1552,10242466108.149912,4646981510.912997
366.78225806451616,7.546322395831306e+16,1.1380910869991796e+16,40631308198.692215,9222603677.678226,776064318515.1552,10242466108.149912,4646981510.912997
366.8225806451613,7.551392060769998e+16,1.1490227946034614e+16,40658604556.809906,9311189563.207285,776064318515.1552,10242466108.149912,4646981510.912997
366.86290322580646,7.556452224923333e+16,1.1599331709346376e+16,40685849760.29653,9399602589.217419,776064318515.1552,10242466108.149912,4646981510.912997
366.9032258064516,7.561502906096205e+16,1.1708222583499824e+16,40713043905.01816,9487843098.953869,776064318515.1552,10242466108.149912,4646981510.912997
366.94354838709677,7.56654412206017e+16,1.1816900991207384e+16,40740187086.66133,9575911434.964718,776064318515.1552,10242466108.149912,4646981510.912997
366.98387096774195,7.57157589055346e+16,1.1925367354321892e+16,40767279400.733185,9663807939.101469,776064318515.1552,10242466108.149912,4646981510.912997
367.0241935483871,7.576598229281056e+16,1.203362209383885e+16,40794320942.56182,9751532952.520885,776064318515.1552,10242466108.149912,4646981510.912997
367.06451612903226,7.581611155914795e+16,1.2141665629898684e+16,40821311807.29686,9839086815.686804,776064318515.1552,10242466108.149912,4646981510.912997
367.10483870967744,7.586614688093365e+16,1.2249498381787606e+16,40848252089.90946,9926469868.370852,776064318515.1552,10242466108.149912,4646981510.912997
367.14516129032256,7.591608843422395e+16,1.2357120767939874e+16,40875141885.1928,10013682449.654263,776064318515.1552,10242466108.149912,4646981510.912997
367.18548387096774,7.596593639474554e+16,1.2464533205940024e+16,40901981287.76256,10100724897.929695,776064318515.1552,10242466108.149912,4646981510.912997
367.2258064516129,7.601569093789544e+16,1.2571736112523736e+16,40928770392.05693,10187597550.90193,776064318515.1552,10242466108.149912,4646981510.912997
367.26612903225805,7.606535223874208e+16,1.2678729903580066e+16,40955509292.33718,10274300745.589682,776064318515.1552,10242466108.149912,4646981510.912997
367.30645161290323,7.611492047202594e+16,1.278551499415368e+16,40982198082.68801,10360834818.327404,776064318515.1552,10242466108.149912,4646981510.912997
367.3467741935484,7.616439581215984e+16,1.2892091798445702e+16,41008836857.01769,10447200104.765984,776064318515.1552,10242466108.149912,4646981510.912997
367.38709677419354,7.621377843322978e+16,1.299846072981593e+16,41035425709.058525,10533396939.874533,776064318515.1552,10242466108.149912,4646981510.912997
367.4274193548387,7.626306850899566e+16,1.3104622200785084e+16,41061964732.36725,10619425657.942207,776064318515.1552,10242466108.149912,4646981510.912997
