# (n,g)     reaction
# E_in [eV]   sigma[barns]
4.837601e-01  2.500403e+02
4.848809e-01  2.598757e+02
4.856169e-01  2.666512e+02
4.860018e-01  2.703004e+02
4.871226e-01  2.813613e+02
4.882435e-01  2.931098e+02
4.893643e-01  3.056024e+02
4.904851e-01  3.189016e+02
4.916060e-01  3.330759e+02
4.927268e-01  3.482013e+02
4.938477e-01  3.643616e+02
4.949685e-01  3.816499e+02
4.960893e-01  4.001691e+02
4.972102e-01  4.200338e+02
4.983310e-01  4.413712e+02
4.994519e-01  4.643231e+02
5.005727e-01  4.890476e+02
5.011331e-01  5.021289e+02
5.016935e-01  5.157210e+02
5.022540e-01  5.298493e+02
5.028144e-01  5.445405e+02
5.033748e-01  5.598229e+02
5.039352e-01  5.757265e+02
5.044956e-01  5.922828e+02
5.050561e-01  6.095255e+02
5.056165e-01  6.274899e+02
5.061769e-01  6.462136e+02
5.067373e-01  6.657362e+02
5.072977e-01  6.860997e+02
5.078582e-01  7.073485e+02
5.084186e-01  7.295294e+02
5.089790e-01  7.526922e+02
5.095394e-01  7.768891e+02
5.100998e-01  8.021755e+02
5.106603e-01  8.286097e+02
5.112207e-01  8.562531e+02
5.117811e-01  8.851705e+02
5.123415e-01  9.154300e+02
5.129019e-01  9.471029e+02
5.134624e-01  9.802642e+02
5.140228e-01  1.014992e+03
5.145832e-01  1.051368e+03
5.151436e-01  1.089478e+03
5.157040e-01  1.129409e+03
5.162645e-01  1.171252e+03
5.168249e-01  1.215100e+03
5.173853e-01  1.261049e+03
5.179457e-01  1.309195e+03
5.185061e-01  1.359635e+03
5.190666e-01  1.412465e+03
5.196270e-01  1.467778e+03
5.201874e-01  1.525666e+03
5.207478e-01  1.586212e+03
5.213082e-01  1.649492e+03
5.218687e-01  1.715572e+03
5.224291e-01  1.784502e+03
5.229895e-01  1.856313e+03
5.235499e-01  1.931014e+03
5.241103e-01  2.008584e+03
5.246708e-01  2.088969e+03
5.252312e-01  2.172072e+03
5.257916e-01  2.257749e+03
5.263520e-01  2.345800e+03
5.269124e-01  2.435961e+03
5.274729e-01  2.527897e+03
5.280333e-01  2.621191e+03
5.285937e-01  2.715345e+03
5.291541e-01  2.809768e+03
5.297145e-01  2.903775e+03
5.302750e-01  2.996589e+03
5.308354e-01  3.087344e+03
5.313958e-01  3.175093e+03
5.319562e-01  3.258821e+03
5.325166e-01  3.337467e+03
5.330771e-01  3.409947e+03
5.336278e-01  3.474123e+03
5.341786e-01  3.530318e+03
5.341979e-01  3.532135e+03
5.348304e-01  3.585272e+03
5.353202e-01  3.617559e+03
5.356994e-01  3.636919e+03
5.359930e-01  3.648406e+03
5.362203e-01  3.655155e+03
5.363963e-01  3.659080e+03
5.365326e-01  3.661332e+03
5.366381e-01  3.662602e+03
5.367198e-01  3.663301e+03
5.367830e-01  3.663672e+03
5.368320e-01  3.663856e+03
5.368699e-01  3.663938e+03
5.368993e-01  3.663964e+03
5.369220e-01  3.663962e+03
5.369396e-01  3.663947e+03
5.369533e-01  3.663928e+03
5.369638e-01  3.663908e+03
5.369720e-01  3.663890e+03
5.369783e-01  3.663874e+03
5.369832e-01  3.663861e+03
5.369870e-01  3.663850e+03
5.369899e-01  3.663842e+03
5.369922e-01  3.663835e+03
5.369938e-01  3.663829e+03
5.369944e-01  3.663828e+03
5.369950e-01  3.663826e+03
5.369955e-01  3.663824e+03
5.369961e-01  3.663822e+03
5.369966e-01  3.663820e+03
5.370000e-01  3.663809e+03
5.370029e-01  3.663799e+03
5.370035e-01  3.663797e+03
5.370041e-01  3.663795e+03
5.370046e-01  3.663793e+03
5.370052e-01  3.663791e+03
5.370057e-01  3.663789e+03
5.370064e-01  3.663786e+03
5.370083e-01  3.663779e+03
5.370107e-01  3.663770e+03
5.370139e-01  3.663758e+03
5.370179e-01  3.663742e+03
5.370231e-01  3.663720e+03
5.370299e-01  3.663690e+03
5.370386e-01  3.663649e+03
5.370498e-01  3.663592e+03
5.370644e-01  3.663512e+03
5.370831e-01  3.663396e+03
5.371074e-01  3.663227e+03
5.371387e-01  3.662977e+03
5.371791e-01  3.662599e+03
5.372313e-01  3.662021e+03
5.372987e-01  3.661124e+03
5.373858e-01  3.659716e+03
5.374983e-01  3.657481e+03
5.376436e-01  3.653903e+03
5.378312e-01  3.648133e+03
5.380735e-01  3.638783e+03
5.383865e-01  3.623592e+03
5.387908e-01  3.598912e+03
5.393129e-01  3.558947e+03
5.396976e-01  3.523989e+03
5.400823e-01  3.484668e+03
5.406427e-01  3.420223e+03
5.412031e-01  3.348199e+03
5.417636e-01  3.269674e+03
5.423240e-01  3.185741e+03
5.428844e-01  3.097482e+03
5.434448e-01  3.005941e+03
5.445657e-01  2.816854e+03
5.456865e-01  2.625333e+03
5.468074e-01  2.436768e+03
5.479282e-01  2.255081e+03
5.484886e-01  2.167675e+03
5.490490e-01  2.082876e+03
5.496095e-01  2.000843e+03
5.501699e-01  1.921683e+03
5.507303e-01  1.845461e+03
5.512907e-01  1.772204e+03
5.518511e-01  1.701908e+03
5.524115e-01  1.634543e+03
5.529720e-01  1.570061e+03
5.535324e-01  1.508396e+03
5.540928e-01  1.449471e+03
5.546532e-01  1.393200e+03
5.552136e-01  1.339490e+03
5.557741e-01  1.288244e+03
5.563345e-01  1.239362e+03
5.568949e-01  1.192745e+03
5.574553e-01  1.148292e+03
5.580158e-01  1.105904e+03
5.585762e-01  1.065485e+03
