n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.4[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.4[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.4[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  48  dtl    0.141000E+02   0.351106E+00   0.569596E+00   0.106135E+01   0.103232E+01   0.548561E+01   0.543308E+01   0.195726E+02   0.893660E+02   0.260031E-01      0.119612E+02        0.595641E+02        0.211220E+03        0.123452E+02        0.620773E+02        0.195212E+03        0.540866E+02        0.191537E+03        0.321912E+03    -0.240947E+00  -0.119225E+02  -0.126214E+00   0.209405E+02   0.273811E-01  -0.433036E+00  -0.580021E-01   0.103147E-01   0.388941E-01   0.945464E-02  -0.994284E-02      0.752740E+01     0.140000E+02    0.465300E+04
   1  dtl    0.144000E+02   0.360575E+00   0.291361E+00   0.105215E+01   0.113742E+01   0.545561E+01   0.608197E+01   0.182219E+02   0.885839E+02   0.264276E-01      0.134589E+02        0.752441E+02        0.434937E+03        0.160679E+02        0.946029E+02        0.193067E+04        0.526686E+02        0.211514E+03        0.342256E+03    -0.248399E+00  -0.173354E+02  -0.129513E+00   0.257369E+02   0.277865E-01  -0.140813E+01   0.654290E-01   0.914205E-02  -0.778752E-03   0.894901E-02  -0.369923E-01      0.689974E+01     0.500000E+01    0.464800E+04
  49  dtl    0.144000E+02   0.360575E+00   0.291361E+00   0.105215E+01   0.113742E+01   0.545561E+01   0.608197E+01   0.182219E+02   0.885839E+02   0.264276E-01      0.134589E+02        0.752441E+02        0.434937E+03        0.160679E+02        0.946029E+02        0.193067E+04        0.526686E+02        0.211514E+03        0.342256E+03    -0.248399E+00  -0.173354E+02  -0.129513E+00   0.257369E+02   0.277865E-01  -0.140813E+01   0.654290E-01   0.914205E-02  -0.778752E-03   0.894901E-02  -0.369923E-01      0.689974E+01     0.500000E+01    0.464800E+04
   1  dtl    0.147000E+02   0.370244E+00  -0.594830E-02   0.106472E+01   0.104688E+01   0.594058E+01   0.478104E+01   0.183367E+02   0.807887E+02   0.262422E-01      0.128688E+02        0.717852E+02        0.407870E+03        0.137813E+02        0.756950E+02        0.636093E+03        0.542082E+02        0.216393E+03        0.306506E+03    -0.203343E+00  -0.207048E+02  -0.147151E+00   0.159297E+02   0.281984E-01   0.973409E-01   0.172449E-01   0.993615E-02  -0.363520E-01   0.897000E-02   0.329787E-01      0.699128E+01     0.900000E+01    0.463900E+04
  50  dtl    0.147000E+02   0.370244E+00  -0.594830E-02   0.106472E+01   0.104688E+01   0.594058E+01   0.478104E+01   0.183367E+02   0.807887E+02   0.262422E-01      0.128688E+02        0.717852E+02        0.407870E+03        0.137813E+02        0.756950E+02        0.636093E+03        0.542082E+02        0.216393E+03        0.306506E+03    -0.203343E+00  -0.207048E+02  -0.147151E+00   0.159297E+02   0.281984E-01   0.973409E-01   0.172449E-01   0.993615E-02  -0.363520E-01   0.897000E-02   0.329787E-01      0.699128E+01     0.900000E+01    0.463900E+04
   1  dtl    0.150000E+02   0.381874E+00   0.129599E+00   0.997051E+00   0.982075E+00   0.562257E+01   0.654031E+01   0.179067E+02   0.891912E+02   0.266054E-01      0.111731E+02        0.681788E+02        0.238387E+03        0.112135E+02        0.765194E+02        0.131477E+03        0.553013E+02        0.189032E+03        0.360062E+03    -0.195205E+00  -0.127538E+02  -0.750605E-01   0.142692E+02   0.286186E-01   0.133701E+01   0.244652E-01   0.101852E-01  -0.376121E-01   0.984596E-02   0.180374E-01      0.673156E+01     0.600000E+01    0.463300E+04
  51  dtl    0.150000E+02   0.381874E+00   0.129599E+00   0.997051E+00   0.982075E+00   0.562257E+01   0.654031E+01   0.179067E+02   0.891912E+02   0.266054E-01      0.111731E+02        0.681788E+02        0.238387E+03        0.112135E+02        0.765194E+02        0.131477E+03        0.553013E+02        0.189032E+03        0.360062E+03    -0.195205E+00  -0.127538E+02  -0.750605E-01   0.142692E+02   0.286186E-01   0.133701E+01   0.244652E-01   0.101852E-01  -0.376121E-01   0.984596E-02   0.180374E-01      0.673156E+01     0.600000E+01    0.463300E+04
   1  dtl    0.153000E+02   0.394551E+00   0.420060E+00   0.104156E+01   0.105922E+01   0.711345E+01   0.857751E+01   0.174670E+02   0.872168E+02   0.267154E-01      0.136319E+02        0.766336E+02        0.870836E+03        0.125553E+02        0.786434E+02        0.228615E+03        0.558078E+02        0.247077E+03        0.368221E+03    -0.206637E+00  -0.951221E+01  -0.670835E-01   0.192993E+02   0.290477E-01   0.182280E+01   0.310982E-01   0.924669E-02   0.563927E-01   0.103829E-01   0.120128E-01      0.653864E+01     0.400000E+01    0.462900E+04
  52  dtl    0.153000E+02   0.394551E+00   0.420060E+00   0.104156E+01   0.105922E+01   0.711345E+01   0.857751E+01   0.174670E+02   0.872168E+02   0.267154E-01      0.136319E+02        0.766336E+02        0.870836E+03        0.125553E+02        0.786434E+02        0.228615E+03        0.558078E+02        0.247077E+03        0.368221E+03    -0.206637E+00  -0.951221E+01  -0.670835E-01   0.192993E+02   0.290477E-01   0.182280E+01   0.310982E-01   0.924669E-02   0.563927E-01   0.103829E-01   0.120128E-01      0.653864E+01     0.400000E+01    0.462900E+04
   1  dtl    0.156000E+02   0.407378E+00   0.623456E+00   0.103166E+01   0.106984E+01   0.588229E+01   0.101101E+02   0.165179E+02   0.810214E+02   0.263075E-01      0.131431E+02        0.696509E+02        0.881657E+03        0.132387E+02        0.819183E+02        0.304529E+03        0.533563E+02        0.203371E+03        0.331764E+03    -0.264373E+00  -0.105386E+02  -0.419699E-01   0.290977E+02   0.294864E-01   0.267171E+00  -0.446872E-01   0.955121E-02   0.191366E-01   0.101970E-01   0.863772E-01      0.630217E+01     0.160000E+02    0.461300E+04
  53  dtl    0.156000E+02   0.407378E+00   0.623456E+00   0.103166E+01   0.106984E+01   0.588229E+01   0.101101E+02   0.165179E+02   0.810214E+02   0.263075E-01      0.131431E+02        0.696509E+02        0.881657E+03        0.132387E+02        0.819183E+02        0.304529E+03        0.533563E+02        0.203371E+03        0.331764E+03    -0.264373E+00  -0.105386E+02  -0.419699E-01   0.290977E+02   0.294864E-01   0.267171E+00  -0.446872E-01   0.955121E-02   0.191366E-01   0.101970E-01   0.863772E-01      0.630217E+01     0.160000E+02    0.461300E+04
   1  dtl    0.159000E+02   0.419365E+00   0.552294E+00   0.101382E+01   0.101849E+01   0.680647E+01   0.491216E+01   0.178755E+02   0.884594E+02   0.259424E-01      0.125739E+02        0.613320E+02        0.376270E+03        0.136046E+02        0.620899E+02        0.705567E+03        0.588739E+02        0.233485E+03        0.399120E+03    -0.274390E+00  -0.185472E+02  -0.432805E-01   0.272653E+02   0.299277E-01  -0.802584E+00   0.340980E-02   0.978551E-02   0.467124E-02   0.912765E-02  -0.733224E-02      0.689064E+01     0.130000E+02    0.460000E+04
  54  dtl    0.159000E+02   0.419365E+00   0.552294E+00   0.101382E+01   0.101849E+01   0.680647E+01   0.491216E+01   0.178755E+02   0.884594E+02   0.259424E-01      0.125739E+02        0.613320E+02        0.376270E+03        0.136046E+02        0.620899E+02        0.705567E+03        0.588739E+02        0.233485E+03        0.399120E+03    -0.274390E+00  -0.185472E+02  -0.432805E-01   0.272653E+02   0.299277E-01  -0.802584E+00   0.340980E-02   0.978551E-02   0.467124E-02   0.912765E-02  -0.733224E-02      0.689064E+01     0.130000E+02    0.460000E+04
   1  dtl    0.162000E+02   0.430537E+00   0.206202E+00   0.100248E+01   0.102441E+01   0.551120E+01   0.553579E+01   0.166839E+02   0.787101E+02   0.262048E-01      0.123631E+02        0.706460E+02        0.164293E+03        0.125243E+02        0.707251E+02        0.198109E+03        0.571483E+02        0.240158E+03        0.344067E+03    -0.188188E+00  -0.192193E+02  -0.474811E-01   0.172157E+02   0.303762E-01  -0.100013E+01   0.683090E-01   0.987672E-02  -0.282631E-01   0.101810E-01  -0.342413E-01      0.637045E+01     0.110000E+02    0.458900E+04
  55  dtl    0.162000E+02   0.430537E+00   0.206202E+00   0.100248E+01   0.102441E+01   0.551120E+01   0.553579E+01   0.166839E+02   0.787101E+02   0.262048E-01      0.123631E+02        0.706460E+02        0.164293E+03        0.125243E+02        0.707251E+02        0.198109E+03        0.571483E+02        0.240158E+03        0.344067E+03    -0.188188E+00  -0.192193E+02  -0.474811E-01   0.172157E+02   0.303762E-01  -0.100013E+01   0.683090E-01   0.987672E-02  -0.282631E-01   0.101810E-01  -0.342413E-01      0.637045E+01     0.110000E+02    0.458900E+04
   1  dtl    0.165000E+02   0.442682E+00  -0.264387E-02   0.100406E+01   0.969596E+00   0.474786E+01   0.620220E+01   0.163165E+02   0.877043E+02   0.261982E-01      0.122534E+02        0.711301E+02        0.267406E+03        0.120325E+02        0.673711E+02        0.314818E+03        0.575862E+02        0.243849E+03        0.411907E+03    -0.126381E+00  -0.791120E+01   0.306295E-01   0.113276E+02   0.308339E-01  -0.546777E+00  -0.128463E-01   0.101472E-01   0.425896E-01   0.963639E-02   0.260876E-01      0.623021E+01     0.100000E+02    0.457900E+04
  56  dtl    0.165000E+02   0.442682E+00  -0.264387E-02   0.100406E+01   0.969596E+00   0.474786E+01   0.620220E+01   0.163165E+02   0.877043E+02   0.261982E-01      0.122534E+02        0.711301E+02        0.267406E+03        0.120325E+02        0.673711E+02        0.314818E+03        0.575862E+02        0.243849E+03        0.411907E+03    -0.126381E+00  -0.791120E+01   0.306295E-01   0.113276E+02   0.308339E-01  -0.546777E+00  -0.128463E-01   0.101472E-01   0.425896E-01   0.963639E-02   0.260876E-01      0.623021E+01     0.100000E+02    0.457900E+04
   1  dtl    0.168000E+02   0.456257E+00   0.548083E-01   0.975962E+00   0.947137E+00   0.492128E+01   0.414139E+01   0.166838E+02   0.845537E+02   0.257526E-01      0.113958E+02        0.545668E+02        0.165354E+03        0.110920E+02        0.503703E+02        0.190077E+03        0.595611E+02        0.271843E+03        0.456880E+03    -0.199171E+00  -0.596462E+01   0.627587E-01   0.240814E+02   0.312942E-01   0.957423E+00  -0.193182E-01   0.104627E-01  -0.917638E-01   0.101237E-01   0.521216E-01      0.648727E+01     0.700000E+01    0.457200E+04
  57  dtl    0.168000E+02   0.456257E+00   0.548083E-01   0.975962E+00   0.947137E+00   0.492128E+01   0.414139E+01   0.166838E+02   0.845537E+02   0.257526E-01      0.113958E+02        0.545668E+02        0.165354E+03        0.110920E+02        0.503703E+02        0.190077E+03        0.595611E+02        0.271843E+03        0.456880E+03    -0.199171E+00  -0.596462E+01   0.627587E-01   0.240814E+02   0.312942E-01   0.957423E+00  -0.193182E-01   0.104627E-01  -0.917638E-01   0.101237E-01   0.521216E-01      0.648727E+01     0.700000E+01    0.457200E+04
   1  dtl    0.171000E+02   0.471305E+00   0.333216E+00   0.947246E+00   0.954446E+00   0.493052E+01   0.458249E+01   0.166035E+02   0.887682E+02   0.257674E-01      0.119016E+02        0.688971E+02        0.801129E+03        0.112794E+02        0.590016E+02        0.158181E+03        0.611708E+02        0.267781E+03        0.457745E+03    -0.211121E+00  -0.884332E+01   0.766592E-01   0.270574E+02   0.317621E-01   0.823530E+00  -0.487450E-01   0.957830E-02  -0.548413E-02   0.102609E-01  -0.147650E-01      0.644430E+01     0.500000E+01    0.456700E+04
  58  dtl    0.171000E+02   0.471305E+00   0.333216E+00   0.947246E+00   0.954446E+00   0.493052E+01   0.458249E+01   0.166035E+02   0.887682E+02   0.257674E-01      0.119016E+02        0.688971E+02        0.801129E+03        0.112794E+02        0.590016E+02        0.158181E+03        0.611708E+02        0.267781E+03        0.457745E+03    -0.211121E+00  -0.884332E+01   0.766592E-01   0.270574E+02   0.317621E-01   0.823530E+00  -0.487450E-01   0.957830E-02  -0.548413E-02   0.102609E-01  -0.147650E-01      0.644430E+01     0.500000E+01    0.456700E+04
   1  dtl    0.174000E+02   0.485770E+00   0.370946E+00   0.972802E+00   0.103658E+01   0.513619E+01   0.677254E+01   0.160032E+02   0.897224E+02   0.262842E-01      0.154275E+02        0.899044E+02        0.138315E+04        0.134029E+02        0.821390E+02        0.612978E+03        0.619652E+02        0.305690E+03        0.501953E+03    -0.178144E+00  -0.172396E+02   0.623985E-03   0.230963E+02   0.322398E-01  -0.108382E+00   0.114061E-01   0.791056E-02  -0.277589E-02   0.103385E-01  -0.136192E-01      0.608909E+01     0.110000E+02    0.455600E+04
  59  dtl    0.174000E+02   0.485770E+00   0.370946E+00   0.972802E+00   0.103658E+01   0.513619E+01   0.677254E+01   0.160032E+02   0.897224E+02   0.262842E-01      0.154275E+02        0.899044E+02        0.138315E+04        0.134029E+02        0.821390E+02        0.612978E+03        0.619652E+02        0.305690E+03        0.501953E+03    -0.178144E+00  -0.172396E+02   0.623985E-03   0.230963E+02   0.322398E-01  -0.108382E+00   0.114061E-01   0.791056E-02  -0.277589E-02   0.103385E-01  -0.136192E-01      0.608909E+01     0.110000E+02    0.455600E+04
   1  dtl    0.177000E+02   0.500969E+00   0.441851E+00   0.100247E+01   0.102458E+01   0.673139E+01   0.528692E+01   0.162877E+02   0.899991E+02   0.258351E-01      0.131059E+02        0.692054E+02        0.339242E+03        0.138740E+02        0.867510E+02        0.419087E+03        0.638765E+02        0.350845E+03        0.516708E+03    -0.113175E+00  -0.115093E+02   0.592867E-01   0.144207E+02   0.327289E-01  -0.568514E-01  -0.429674E-01   0.100384E-01   0.401067E-01   0.990570E-02   0.202915E-01      0.630576E+01     0.120000E+02    0.454400E+04
  60  dtl    0.177000E+02   0.500969E+00   0.441851E+00   0.100247E+01   0.102458E+01   0.673139E+01   0.528692E+01   0.162877E+02   0.899991E+02   0.258351E-01      0.131059E+02        0.692054E+02        0.339242E+03        0.138740E+02        0.867510E+02        0.419087E+03        0.638765E+02        0.350845E+03        0.516708E+03    -0.113175E+00  -0.115093E+02   0.592867E-01   0.144207E+02   0.327289E-01  -0.568514E-01  -0.429674E-01   0.100384E-01   0.401067E-01   0.990570E-02   0.202915E-01      0.630576E+01     0.120000E+02    0.454400E+04
