n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
  15  dtl     1.0   2.0    -4      -5.342      13.222     415.200   0.0109065   0.0346054   0.0118577      -5.342      13.222      25.200   0.0109065   0.0346054   0.0118577       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4     -10.776      -4.391     415.200  -0.0150490   0.0199010   0.0010816     -10.776      -4.391      25.200  -0.0150490   0.0199010   0.0010816       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4      -5.963     -11.803     415.200  -0.0304583  -0.0002701   0.0016960      -5.963     -11.803      25.200  -0.0304583  -0.0002701   0.0016960       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  15  dtl     1.0   2.0    -4      -5.529     -12.350     415.800   0.0368195   0.0015242   0.0074792      -5.529     -12.350      25.800   0.0368195   0.0015242   0.0074792       0.000       0.000     390.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4      10.811      -0.668     433.800   0.0189073  -0.0110650   0.0137703      10.811      -0.668      13.800   0.0189073  -0.0110650   0.0137703       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4      10.469      -1.653     436.200  -0.0046773  -0.0135841   0.0046170      10.469      -1.653      16.200  -0.0046773  -0.0135841   0.0046170       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4       8.135       3.666     439.200   0.0035724  -0.0159193   0.0019951       8.135       3.666      19.200   0.0035724  -0.0159193   0.0019951       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4      -7.391       8.485     442.800   0.0065543   0.0256217   0.0160947      -7.391       8.485      22.800   0.0065543   0.0256217   0.0160947       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4      13.525       1.151     443.400   0.0258137  -0.0245266   0.0088123      13.525       1.151      23.400   0.0258137  -0.0245266   0.0088123       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4      10.888       6.129     444.000   0.0264248  -0.0109353   0.0022465      10.888       6.129      24.000   0.0264248  -0.0109353   0.0022465       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4      -8.719       7.327     444.000   0.0114544   0.0247595   0.0006514      -8.719       7.327      24.000   0.0114544   0.0247595   0.0006514       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  16  dtl     1.0   2.0    -4       9.065      -6.982     444.600  -0.0127607  -0.0165377   0.0200770       9.065      -6.982      24.600  -0.0127607  -0.0165377   0.0200770       0.000       0.000     420.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4      -7.205      10.336     459.600   0.0238594   0.0537340   0.0000225      -7.205      10.336       9.600   0.0238594   0.0537340   0.0000225       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4     -10.103      -1.852     465.600   0.0045579   0.0096893   0.0024050     -10.103      -1.852      15.600   0.0045579   0.0096893   0.0024050       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4      -0.370     -11.858     465.600  -0.0310598  -0.0252457   0.0000000      -0.370     -11.858      15.600  -0.0310598  -0.0252457   0.0000000       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4       6.223       5.790     468.000  -0.0010164  -0.0189817   0.0003008       6.223       5.790      18.000  -0.0010164  -0.0189817   0.0003008       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4      -8.505      -7.249     472.200   0.0238784  -0.0089024   0.0078222      -8.505      -7.249      22.200   0.0238784  -0.0089024   0.0078222       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4      -6.444     -13.447     474.600   0.0470879   0.0060738   0.0004238      -6.444     -13.447      24.600   0.0470879   0.0060738   0.0004238       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  17  dtl     1.0   2.0    -4       6.261      13.248     476.400   0.0400239   0.0117165   0.0172681       6.261      13.248      26.400   0.0400239   0.0117165   0.0172681       0.000       0.000     450.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
