 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.22866E+00      -0.26774E-01       0.20714E+00      -0.60087E+02       0.48958E+00      -0.34993E+02
      0      1      -0.18781E+01      -0.57955E-01       0.42747E+00       0.34597E+02       0.46620E+00      -0.94832E+02
      0      1       0.14620E+01      -0.54726E-01      -0.25231E+00      -0.10065E+02      -0.40762E+00       0.68647E+02
      0      1      -0.27769E+02       0.10410E+00      -0.11358E+01       0.38939E+02      -0.10831E+00       0.60360E+02
      0      1      -0.62498E+00       0.68689E-02       0.11997E+01      -0.44096E+02      -0.55941E-01      -0.96102E+02
      0      1       0.36011E+00       0.35357E-01      -0.37504E+00      -0.13010E+03      -0.16819E+01       0.57489E+02
      0      1      -0.89974E+00       0.11503E-01      -0.12319E+01      -0.64194E+02      -0.24900E+00       0.11551E+03
      0      1       0.41387E+00       0.62593E-03       0.35481E+00      -0.65654E+02      -0.75048E+00       0.31858E+02
      0      1      -0.10619E+00      -0.44779E-01       0.10637E+01       0.72113E+02       0.69702E+00      -0.10102E+03
      0      1       0.10553E+01      -0.13450E-01       0.14458E+00      -0.43043E+02       0.12172E-01       0.28653E+02
      0      1       0.12458E+04      -0.31703E+00       0.99912E+00      -0.27818E+03       0.31919E+00       0.90195E+02
      0      1      -0.49497E+00       0.46190E-03       0.82375E+00       0.86595E+02       0.12342E+01      -0.60364E+02
      0      1       0.36855E+00       0.21522E-01      -0.12396E+01       0.37827E+02      -0.27335E+00       0.16680E+03
      0      1      -0.12522E+04       0.56037E+01       0.10730E+00       0.11558E+03       0.48789E+01      -0.15148E+02
      0      1       0.69527E+00       0.35103E-01       0.33330E-01       0.11223E+03       0.15959E+01      -0.42821E+01
      0      1       0.12697E+04      -0.37852E+00       0.28180E+00      -0.22022E+03       0.58604E+00       0.15239E+03
      0      1      -0.88291E+00      -0.79100E-02       0.49783E+00      -0.95206E+02      -0.40662E+00      -0.85896E+02
      0      1       0.12135E+04      -0.36054E+00       0.12019E+00      -0.30468E+03      -0.22409E+01      -0.52731E+02
      0      1       0.13186E+01       0.79836E-01       0.54273E+00       0.11640E+02       0.96104E-02       0.66276E+02
      0      1      -0.98430E+00       0.25199E-01       0.31198E-01      -0.83610E+02      -0.17434E+00       0.31300E+02
      0      1      -0.54211E+00      -0.21260E-01       0.48270E+00      -0.16136E+03      -0.13970E+01       0.22069E+02
      0      1       0.14427E+04      -0.36875E+00       0.26803E+01      -0.22252E+03       0.58864E-01      -0.57293E+03
      0      1       0.12733E+04      -0.42064E+00      -0.68586E+00      -0.46703E+03      -0.61075E+00       0.23154E+03
      0      1      -0.41757E+00       0.56322E-02      -0.27860E+00       0.18735E+02       0.45919E+00      -0.78035E+02
      0      1       0.21632E+00       0.18031E-01       0.71267E+00      -0.27005E+03      -0.24838E+01      -0.24165E+02
      0      1      -0.20869E+01       0.34821E-01      -0.50667E+00      -0.49260E+02      -0.30184E+00       0.36230E+02
      0      1      -0.90186E+00       0.39873E-01      -0.98331E+00       0.10121E+03       0.37843E+00       0.11767E+03
      0      1      -0.11840E+01       0.37534E-01       0.98099E+00       0.14557E+02      -0.73564E-01      -0.10337E+03
      0      1      -0.89585E+00      -0.23929E-01       0.14343E+01      -0.27435E+02      -0.39160E+00      -0.61668E+02
      0      1       0.15569E+04      -0.39345E+00      -0.43524E-01       0.42322E+03       0.19559E+01       0.35234E+03
      0      1       0.16671E+04      -0.39347E+00       0.27190E+01      -0.36610E+03       0.59146E+00      -0.49274E+03
      0      1       0.42108E+00      -0.10019E-01      -0.13706E+01       0.75986E+02      -0.26727E-01       0.11579E+03
      0      1      -0.29459E+01      -0.28933E-01      -0.12254E+01       0.13855E+03       0.15716E+01       0.10508E+02
      0      1       0.97943E+03      -0.35744E+00       0.13163E+01      -0.80811E+02      -0.13683E-01      -0.19882E+03
      0      1       0.19990E+04      -0.43813E+00       0.12556E+00       0.68463E+02       0.64635E+00       0.14998E+03
      0      1       0.82172E+00       0.81399E-02      -0.91957E+00      -0.13348E+02       0.23951E+00       0.15048E+03
      0      1       0.13082E+01      -0.20648E-01      -0.10097E+00      -0.13193E+03      -0.12659E+01      -0.16926E+02
      0      1      -0.27180E-01      -0.97414E-02      -0.22564E+00       0.28626E+02       0.87459E+00      -0.14270E+02
      0      1       0.10838E+01       0.99684E-02      -0.53253E+00       0.82846E+02       0.48183E+00       0.18485E+02
      0      1      -0.26722E+00       0.99954E-02       0.47158E+00      -0.98353E+02      -0.69765E+00      -0.71817E+02
      0      1       0.12136E+04      -0.36161E+00       0.26575E+00       0.26770E+03       0.11502E+01      -0.71344E+02
      0      1      -0.62407E+00      -0.33744E-02       0.12350E+01      -0.10944E+02       0.22191E+00      -0.11826E+03
      0      1       0.15943E+04      -0.36365E+00      -0.11209E+01       0.19924E+04       0.30098E+01      -0.21174E+03
      0      1      -0.78174E+00       0.34300E-01      -0.37589E+00      -0.10701E+03      -0.11032E+01       0.32998E+02
      0      1       0.22100E+01       0.35009E-01       0.24947E+00      -0.98543E+02      -0.10218E+01       0.13421E+02
      0      1       0.63554E+00      -0.55302E-02       0.86418E+00      -0.67849E+02      -0.10753E+01       0.80550E+02
      0      1      -0.15188E+01       0.34406E-01       0.14982E+00       0.25742E+01      -0.63603E+00       0.11129E+02
      0      1       0.80015E+03      -0.82294E-01      -0.42254E+00      -0.38742E+03      -0.26540E+00       0.13055E+03
      0      1       0.50777E+00      -0.30635E-02       0.90702E+00      -0.33633E+02      -0.33989E+00      -0.13212E+03
      0      1       0.23340E+02      -0.10580E+00      -0.25397E+01      -0.13772E+03      -0.19404E+01       0.30128E+03
      0      1       0.38611E+03       0.10468E+00       0.39968E+01      -0.61394E+02       0.11271E+01      -0.57251E+03
      0      1       0.18285E+01       0.11396E-01       0.56700E-01      -0.76812E+02      -0.13707E+00      -0.11095E+02
      0      1      -0.74012E+00       0.60334E-01      -0.10209E+01      -0.12971E+03      -0.11559E+01       0.88356E+02
      0      1       0.96864E+00       0.32513E-01      -0.13835E+01      -0.44813E+02      -0.26370E+00       0.49178E+02
      0      1       0.12783E+04      -0.34283E+00       0.66229E+00       0.10278E+02       0.43487E+00      -0.10189E+03
      0      1       0.34571E+00       0.12451E-01       0.83414E+00      -0.49036E+01      -0.77258E+00      -0.10866E+03
      0      1       0.13524E+04      -0.31588E+00      -0.19326E+00      -0.47102E+03      -0.12996E+01       0.74044E+02
      0      1       0.11231E+01       0.13730E-01      -0.10727E+01       0.19201E+02       0.28527E+00       0.54188E+02
      0      1       0.11924E+04      -0.31722E+00      -0.16685E+00       0.76735E+02       0.73750E+00       0.30160E+02
      0      1      -0.18353E+00       0.98084E-02       0.13335E+01       0.94627E+01       0.60549E+00      -0.10600E+03
      0      1       0.21821E+01       0.61982E-01      -0.19387E+01       0.22247E+02      -0.19112E+00       0.88595E+02
      0      1      -0.80009E+00       0.41756E-01      -0.11581E+01      -0.84394E+02      -0.81391E+00       0.92519E+02
      0      1       0.94334E-01       0.16957E-01      -0.16739E+00       0.29685E+02       0.86629E+00       0.74311E+02
      0      1      -0.20701E+01       0.58991E-02       0.33186E+00       0.59348E+02       0.96834E-01      -0.50696E+02
      0      1       0.22643E-01       0.10438E-01       0.15645E+00      -0.13416E+03      -0.82145E+00      -0.80081E+02
      0      1       0.95496E+00       0.69065E-01       0.24794E+01      -0.18073E+03      -0.16035E+01      -0.18473E+03
      0      1       0.14193E+04      -0.36848E+00       0.38769E+01       0.67133E+03       0.17823E+01      -0.14343E+04
      0      1       0.12150E+04      -0.37240E+00      -0.61438E+00       0.56699E+03       0.13958E+01       0.25861E+03
      0      1       0.14460E+04      -0.41752E+00       0.89143E+00      -0.14226E+03      -0.72820E+00      -0.27868E+03
      0      1      -0.25953E+00      -0.18573E-01      -0.14037E+01       0.17148E+02       0.42040E+00       0.11548E+03
      0      1       0.87993E+00      -0.26959E-01      -0.44384E+00       0.24518E+02       0.86065E+00       0.34005E+02
      0      1       0.15654E+00       0.19284E-01      -0.23570E+01      -0.29878E+02      -0.11155E+01       0.21879E+03
      0      1       0.51923E+02      -0.12469E+00      -0.12675E+01      -0.15783E+01      -0.21562E+01       0.14784E+03
